Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,50,SEA,Elijah Arroyo,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,ArroEl00
2,51,CAR,Nic Scourton,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,ScouNi00
2,52,TEN,Oluwafemi Oladejo,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,OladOl00
2,53,TAM,Benjamin Morrison,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,MorrBe00
2,54,GNB,Anthony Belton,OT,24,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,College Stats,BeltAn00
2,55,LAC,Tre Harris,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,HarrTr03
2,56,CHI,Ozzy Trapilo,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,College Stats,TrapOz00
2,57,DET,Tate Ratledge,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,RatlTa00
2,58,LVR,Jack Bech,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,BechJa00
2,59,BAL,Mike Green,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,College Stats,GreeMi02
2,60,DEN,RJ Harvey,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,College Stats,HarvRJ00
2,61,WAS,Trey Amos,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,AmosTr00
2,62,CHI,Shemar Turner,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,TurnSh00
2,63,KAN,Omarr Norman-Lott,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,NormOm00
2,64,PHI,Andrew Mukuba,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,MukuAn00
3,65,NYG,Darius Alexander,DT,25,,0,0,0,,,,,,,,,,,,,,,,,,Toledo,College Stats,AlexDa01
3,66,KAN,Ashton Gillotte,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,GillAs00
3,67,CLE,Harold Fannin,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Bowling Green,College Stats,FannHa00
3,68,LVR,Darien Porter,CB,24,,0,0,0,,,,,,,,,,,,,,,,,,Iowa St.,College Stats,PortDa00
3,69,NWE,Kyle Williams,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats,WillKy03
3,70,DET,Isaac TeSlaa,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats,TeSlIs00
3,71,NOR,Vernon Broughton,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,BrouVe00
3,72,BUF,Landon Jackson,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats,JackLa03
3,73,NYJ,Azareye'h Thomas,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,ThomAz00
3,74,DEN,Pat Bryant,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats,BryaPa00
3,75,SFO,Nick Martin,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma St.,College Stats,MartNi01
3,76,DAL,Shavon Revel,CB,24,,0,0,0,,,,,,,,,,,,,,,,,,East Carolina,College Stats,ReveSh00
3,77,CAR,Princely Umanmielen,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,UmanPr00
3,78,ARI,Jordan Burch,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,BurcJo00
3,79,HOU,Jaylin Noel,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Iowa St.,College Stats,NoelJa00
3,80,IND,Justin Walley,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Minnesota,College Stats,WallJu00
3,81,CIN,Dylan Fairchild,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,FairDy00
3,82,TEN,Kevin Winston,SAF,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,WinsKe02
3,83,PIT,Kaleb Johnson,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,JohnKa03
3,84,TAM,Jacob Parrish,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats,ParrJa01
3,85,KAN,Nohl Williams,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats,WillNo01
3,86,LAC,Jamaree Caldwell,DT,25,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,CaldJa00
3,87,GNB,Savion Williams,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,WillSa01
3,88,JAX,Caleb Ransaw,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,College Stats,RansCa00
3,89,JAX,Wyatt Milum,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,College Stats,MiluWy00
3,90,LAR,Josaiah Stewart,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,StewJo03
3,91,BAL,Emery Jones,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,JoneEm02
3,92,SEA,Jalen Milroe,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,MilrJa00
3,93,NOR,Jonas Sanker,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Virginia,College Stats,SankJo00
3,94,CLE,Dillon Gabriel,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,GabrDi00
3,95,NWE,Jared Wilson,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,WilsJa02
3,96,ATL,Xavier Watts,SAF,23,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,WattXa00
3,97,HOU,Jaylin Smith,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,SmitJa11
3,98,LVR,Caleb Rogers,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats,RogeCa01
3,99,LVR,Charles Grant,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,William & Mary,,GranCh00
3,100,SFO,Upton Stout,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Western Kentucky,College Stats,StouUp00
3,101,DEN,Sai'vion Jones,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,JoneSa01
3,102,MIN,Tai Felton,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,FeltTa00
4,103,TEN,Chimere Dike,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,DikeCh00
4,104,JAX,Bhayshul Tuten,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Virginia Tech,College Stats,TuteBh00
4,105,NYG,Cam Skattebo,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,College Stats,SkatCa00
4,106,NWE,Craig Woodson,SAF,24,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats,WoodCr00
4,107,JAX,Jack Kiser,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,KiseJa00
4,108,LVR,Dont'e Thornton,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,ThorDo00
4,109,BUF,Deone Walker,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,College Stats,WalkDe04
4,110,NYJ,Arian Smith,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,SmitAr01
4,111,PHI,Ty Robinson,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska,College Stats,RobiTy02
4,112,NOR,Danny Stutsman,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,StutDa00
4,113,SFO,CJ West,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Indiana,College Stats,WestCJ00
4,114,CAR,Trevor Etienne,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,EtieTr01
4,115,ARI,Cody Simon,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,SimoCo01
4,116,HOU,Jo'quavioius Marks,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,USC,,MarkWo00
4,117,LAR,Jarquez Hunter,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,HuntJa03
4,118,ATL,Billy Bowman,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,BowmBi01
4,119,CIN,Barrett Carter,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,CartBa00
4,120,TEN,Gunnar Helm,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,HelmGu00
4,121,TAM,David Walker,OLB,25,,0,0,0,,,,,,,,,,,,,,,,,,Central Arkansas,,WalkDa03
4,122,CAR,Lathan Ransom,SAF,23,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,RansLa00
4,123,PIT,Jack Sawyer,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,SawyJa00
4,124,GNB,Barryn Sorrell,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,SorrBa00
4,125,LAC,Kyle Kennard,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,KennKy00
4,126,CLE,Dylan Sampson,RB,20,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,SampDy00
4,127,IND,Jalen Travis,OT,23,,0,0,0,,,,,,,,,,,,,,,,,,Iowa St.,College Stats,TravJa00
4,128,WAS,Jaylin Lane,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Virginia Tech,College Stats,LaneJa00
4,129,BAL,Teddye Buchanan,LB,,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats,BuchTe00
4,130,NYJ,Malachi Moore,SAF,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,MoorMa04
4,131,NOR,Quincy Riley,CB,24,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,RileQu00
4,132,CHI,Ruben Hyppolite,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,HyppRu00
4,133,KAN,Jalen Royals,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Utah St.,College Stats,RoyaJa00
4,134,DEN,Quandarrius Robinson,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,RobiQu00
4,135,LVR,Tonka Hemingway,DT,,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,HemiTo00
4,136,TEN,Elic Ayomanor,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats,AyomEl00
4,137,NWE,Joshua Farmer,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,FarmJo00
4,138,SFO,Jordan Watkins,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,WatkJo00
5,139,MIN,Tyrion Ingram-Dawkins,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,IngrTy00
5,140,CAR,Cam Jackson,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,JackCa01
5,141,BAL,Carson Vinson,OT,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama A&M,,VinsCa00
5,142,SEA,Rylie Mills,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,MillRy02
5,143,MIA,Jordan Phillips,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,PhilJo02
5,144,CLE,Shedeur Sanders,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,College Stats,SandSh00
5,145,PHI,Mac McWilliams,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,College Stats,McWiMa01
5,146,NWE,Bradyn Swinson,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,SwinBr01
5,147,SFO,Jordan James,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,JameJo01
5,148,LAR,Ty Hamilton,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,HamiTy00
5,149,DAL,Jaydon Blue,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,BlueJa01
5,150,MIA,Jason Marshall,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,MarsJa00
5,151,IND,DJ Giddens,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats,GiddDJ00
5,152,DAL,Shemar James,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,JameSh00
5,153,CIN,Jalen Rivers,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,RiveJa00
5,154,NYG,Marcus Mbow,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Purdue,College Stats,MbowMa00
5,155,MIA,Dante Trader,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,TradDa00
5,156,KAN,Jeffrey Bassa,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,BassJe00
5,157,TAM,Elijah Roberts,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,SMU,College Stats,RobeEl01
5,158,LAC,KeAndre Lambert-Smith,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,LambKe01
5,159,GNB,Collin Oliver,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma St.,College Stats,OlivCo00
5,160,SFO,Marques Sigle,SAF,23,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats,SiglMa00
5,161,PHI,Smael Mondon,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,MondSm01
5,162,NYJ,Francisco Mauigoa,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,MauiFr00
5,163,CAR,Mitchell Evans,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,EvanMi01
5,164,PIT,Yahya Black,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,BlacYa00
5,165,LAC,Oronde Gadsden,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Syracuse,College Stats,GadsOr01
5,166,SEA,Tory Horton,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Colorado St.,College Stats,HortTo00
5,167,TEN,Jackson Slater,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Sacramento St.,,SlatJa01
5,168,PHI,Drew Kendall,C,23,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,College Stats,KendDr00
5,169,CHI,Zah Frazier,CB,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas-San Antonio,College Stats,FrazZa01
5,170,BUF,Jordan Hancock,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,HancJo00
5,171,DET,Miles Frazier,OG,23,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,FrazMi00
5,172,LAR,Chris Paul,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,PaulCh01
5,173,BUF,Jackson Hawes,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Georgia Tech,College Stats,HaweJa00
5,174,ARI,Denzel Burke,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,BurkDe01
5,175,SEA,Robbie Ouzts,TE,,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,OuztRo00
5,176,NYJ,Tyler Baron,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,BaroTy00
6,177,BUF,Dorian Strong,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Virginia Tech,College Stats,StroDo01
6,178,BAL,Bilhal Kone,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Western Michigan,College Stats,KoneBi00
6,179,MIA,Ollie Gordon,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma St.,College Stats,GordOl00
6,180,LVR,JJ Pegues,DT,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,PeguJJ00
6,181,PHI,Kyle McCord,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Syracuse,College Stats,McCoKy00
6,182,NWE,Andres Borregales,K,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,BorrAn00
6,183,TEN,Marcus Harris,DB,24,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,,HarrMa10
6,184,NOR,Devin Neal,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Kansas,College Stats,NealDe00
6,185,PIT,Will Howard,QB,20,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,HowaWi01
6,186,BAL,Tyler Loop,K,,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats,LoopTy00
6,187,HOU,Jaylen Reed,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,ReedJa04
6,188,TEN,Kalel Mullings,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,MullKa00
6,189,IND,Riley Leonard,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,LeonRi02
6,190,IND,Tim Smith,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,SmitTi02
6,191,PHI,Myles Hinton,OT,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,HintMy00
6,192,SEA,Bryce Cabeldue,OT,24,,0,0,0,,,,,,,,,,,,,,,,,,Kansas,College Stats,CabeBr00
6,193,CIN,Tahj Brooks,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,College Stats,BrooTa00
6,194,JAX,Jalen McLeod,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,McLeJa00
6,195,CHI,Luke Newman,OG,,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,College Stats,NewmLu00
6,196,DET,Ahmed Hassanein,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Boise St.,College Stats,HassAh00
6,197,HOU,Graham Mertz,QB,,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,MertGr00
6,198,GNB,Warren Brinson,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,BrinWa00
6,199,LAC,Branson Taylor,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats,TaylBr04
6,200,JAX,Rayuan Lane,FS,22,,0,0,0,,,,,,,,,,,,,,,,,,Navy,College Stats,LaneRa00
6,201,MIN,Kobe King,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,KingKo00
6,202,MIN,Gavin Bartholomew,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats,BartGa00
6,203,BAL,LaJohntay Wester,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,College Stats,WestLa01
6,204,DAL,Ajani Cornelius,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,CornAj00
6,205,WAS,Kain Medrano,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,MedrKa00
6,206,BUF,Chase Lundt,OL,25,,0,0,0,,,,,,,,,,,,,,,,,,Connecticut,College Stats,LundCh00
6,207,PHI,Cameron Williams,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,WillCa04
6,208,CAR,Jimmy Horn,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,College Stats,HornJi00
6,209,PHI,Antwaun Powell-Ryland,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Virginia Tech,College Stats,PoweAn00
6,210,BAL,Aeneas Peebles,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,Virginia Tech,College Stats,PeebAe00
6,211,ARI,Hayden Conner,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,ConnHa00
6,212,BAL,Robert Longerbeam,DB,24,,0,0,0,,,,,,,,,,,,,,,,,,Rutgers,College Stats,LongRo00
6,213,LVR,Tommy Mellott,QB,,,0,0,0,,,,,,,,,,,,,,,,,,Montana St.,,MellTo00
6,214,LAC,R.J. Mickens,SAF,,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,MickRJ00
6,215,LVR,Cam Miller,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,North Dakota St.,,MillCa00
6,216,DEN,Jeremy Crawshaw,P,,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,CrawJe00
7,217,DAL,Jay Toia,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,ToiaJa00
7,218,ATL,Jack Nelson,OT,23,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats,NelsJa01
